race_id,date,prize,race_class,place_combination1,place_combination2,place_combination3,place_dividend1,place_dividend2,place_dividend3,win_combination1,win_dividend1
0,1997/6/2,485000,5,8,11,6,36.5,25.5,18,8,121
1,1997/6/2,485000,5,5,13,4,12.5,47,33.5,5,23.5
2,1997/6/2,625000,4,11,1,13,23,23,59.5,11,70
3,1997/6/2,1750000,1,5,3,10,14,24.5,16,5,52
4,1997/6/2,625000,4,2,10,1,15.5,28,17.5,2,36.5
5,1997/6/2,625000,4,9,14,8,16.5,408,70,9,61
6,1997/6/2,1150000,2,5,7,6,41.5,21.5,79,5,160.5
7,1997/6/2,1150000,2,13,3,8,23.5,44.5,18,13,70.5
8,1997/6/2,850000,3,7,5,2,12.5,16.5,33.5,7,24
9,1997/6/2,850000,3,1,13,6,49.5,45.5,14,1,203
10,1997/6/4,485000,5,2,7,1,18.5,27.5,15,2,50
11,1997/6/4,625000,4,2,9,4,23.5,18,26.5,2,59
12,1997/6/4,625000,4,1,6,7,14,23,15.5,1,35
13,1997/6/4,625000,4,1,5,8,17.5,10.1,17.5,1,70
14,1997/6/4,625000,4,12,3,10,91,34,22,12,265.5
15,1997/6/4,850000,3,8,2,4,20,80,42.5,8,66
16,1997/6/4,850000,3,11,8,7,15.5,35,15.5,11,56
17,1997/6/4,1150000,2,1,7,11,15.5,20.5,28,1,33.5
18,1997/6/8,625000,4,3,5,1,40,13,34.5,3,141
19,1997/6/8,625000,4,7,10,1,28,21.5,21,7,106
20,1997/6/8,850000,3,9,8,3,35.5,38,38.5,9,181
21,1997/6/8,625000,4,5,6,1,20,17.5,34,5,70
22,1997/6/8,485000,5,9,6,3,19,21.5,33.5,9,46
23,1997/6/8,625000,4,2,3,12,18.5,13.5,52.5,2,63
24,1997/6/8,1150000,2,8,1,2,12.5,21.5,36,8,26.5
25,1997/6/8,850000,3,9,5,7,12.5,30,32,9,25.5
26,1997/6/8,1750000,1,3,9,6,17.5,22,18.5,3,59
27,1997/6/8,850000,3,5,4,6,31,21.5,32.5,5,147.5
28,1997/6/11,625000,4,1,5,3,23.5,28,21,1,93
29,1997/6/11,485000,5,10,6,9,29.5,35.5,29.5,10,96
30,1997/6/11,625000,4,8,9,7,79.5,16,25,8,232.5
31,1997/6/11,485000,5,3,10,4,13,40.5,41.5,3,27
32,1997/6/11,625000,4,9,10,2,23,53,19,9,63.5
33,1997/6/11,850000,3,10,5,1,51.5,21,15.5,10,202
34,1997/6/11,850000,3,5,9,3,13.5,21.5,40,5,26
35,1997/6/11,1150000,2,10,9,4,40,15,58,10,201.5
36,1997/6/15,625000,4,10,6,2,17.5,24,14,10,67.5
37,1997/6/15,485000,5,12,5,9,30,15.5,24.5,12,87
38,1997/6/15,625000,4,3,7,8,18,22.5,22,3,53.5
39,1997/6/15,485000,5,4,9,14,29.5,120,50,4,93
40,1997/6/15,625000,4,2,10,5,21,28,15,2,61.5
41,1997/6/15,625000,4,2,8,9,18.5,59,276,2,54
42,1997/6/15,1150000,2,3,2,4,32.5,16.5,12.5,3,123
43,1997/6/15,850000,3,7,5,1,97,24.5,136.5,7,519
44,1997/6/15,850000,3,11,13,2,18.5,12.5,26.5,11,56.5
45,1997/6/15,850000,3,13,14,8,22.5,99,54,13,68
46,1997/6/18,625000,4,11,1,9,53,24.5,72,11,187.5
47,1997/6/18,625000,4,7,9,1,14.5,14,16.5,7,36.5
48,1997/6/18,850000,3,3,8,5,13,14,18.5,3,22.5
49,1997/6/18,625000,4,9,2,6,73,49.5,25.5,9,233
50,1997/6/18,485000,5,6,8,3,44.5,32.5,13.5,3,26
51,1997/6/18,850000,3,8,14,10,30.5,13,63.5,8,121.5
52,1997/6/18,625000,4,11,2,8,160.5,13,29.5,11,815.5
53,1997/6/18,2300000,13,4,6,8,15.5,24.5,33,4,46
54,1997/6/18,850000,3,9,4,5,49,24,14,9,167.5
55,1997/6/18,1150000,2,1,11,4,23,34,36.5,1,83
56,1997/6/22,850000,3,7,8,1,21,13,13.5,7,65
57,1997/6/22,625000,4,4,2,7,11.5,15,25,4,20.5
58,1997/6/22,1150000,2,7,4,3,11,23,13.5,7,28.5
59,1997/6/22,485000,5,12,2,10,18,36,18.5,12,57.5
60,1997/6/22,625000,4,11,7,3,15,12.5,34.5,11,41.5
61,1997/6/22,1150000,2,12,5,7,14,65.5,32.5,12,38
62,1997/6/22,625000,4,1,9,5,11.5,22.5,124.5,1,19.5
63,1997/6/22,2300000,13,2,10,11,14.5,32.5,35,2,33
64,1997/6/22,850000,3,6,5,8,25,16.5,18,6,72.5
65,1997/6/22,850000,3,6,10,2,54,14.5,45,6,224.5
66,1997/6/25,485000,5,1,3,2,50.5,16.5,34.5,1,154.5
67,1997/6/25,625000,4,5,1,9,16,29,35,5,42
68,1997/6/25,1150000,2,10,7,2,16.5,25.5,38.5,10,45.5
69,1997/6/25,625000,4,3,2,9,13.5,27,25.5,3,32.5
70,1997/6/25,625000,4,1,6,10,20,54,15,1,64.5
71,1997/6/25,850000,3,2,6,11,80,12.5,24,2,390
72,1997/6/25,850000,3,5,7,12,13,14.5,35.5,5,25.5
73,1997/6/25,850000,3,8,1,12,26,20,19,8,84
74,1997/6/29,485000,5,10,11,9,25,87.5,44.5,10,90.5
75,1997/6/29,485000,5,7,4,8,16.5,28,18,7,60.5
76,1997/6/29,625000,4,10,6,13,35.5,12.5,133.5,10,176.5
77,1997/6/29,625000,4,3,11,9,17,145,73.5,3,48
78,1997/6/29,625000,4,6,13,2,13.5,42,73.5,6,25
