race_id,horse_no,horse_id,result,horse_age,horse_rating,finish_time,win_odds,place_odds,jockey_id
0,1,3917,10,3,60,83.92,9.7,3.7,2
0,2,2157,8,3,60,83.56,16,4.9,57
0,3,858,7,3,60,83.4,3.5,1.5,18
0,4,1853,9,3,60,83.62,39,11,59
0,5,2796,6,3,60,83.24,50,14,154
0,6,3296,3,3,60,82.83,7,1.8,34
0,7,911,12,3,60,84.15,99,28,149
0,8,2170,1,3,60,82.64,12,3.6,183
0,9,1730,13,3,60,84.2,38,13,131
0,10,2998,14,3,60,92.2,39,12,145
0,11,1733,2,3,60,82.77,8.6,2.5,155
0,12,2617,4,3,60,82.98,23,8.5,115
0,13,727,11,3,60,83.94,5.4,1.7,138
0,14,306,5,3,60,83.08,11,3.9,162
1,1,2397,12,3,60,71.98,14,4.2,149
1,2,4181,10,3,60,71.47,28,8.5,64
1,3,2814,8,3,60,70.98,7,1.7,183
1,4,905,3,3,60,70.72,12,3.3,18
1,5,3915,1,3,60,70.39,2.3,1.2,2
1,6,3865,11,3,60,71.77,28,6.3,34
1,7,1926,14,3,60,73.89,13,3.3,138
1,8,2330,5,3,60,70.8,43,11,59
1,9,3744,9,3,60,71.41,14,4.8,154
1,10,2772,4,3,60,70.76,10,2.6,145
1,11,550,13,3,60,72.54,50,15,151
1,12,4244,7,3,60,70.87,21,7.4,40
1,13,3605,2,3,60,70.56,13,4.7,162
1,14,2813,6,3,60,70.81,47,16,128
2,1,2306,2,3,60,83.69,9.2,2.3,69
2,2,2650,10,3,60,84.3,99,36,128
2,3,803,12,3,60,84.45,81,22,57
2,4,4048,6,3,60,83.98,3.5,1.5,138
2,5,3877,7,3,60,84.03,4.4,1.5,2
2,6,2800,8,3,60,84.25,65,23,183
2,7,133,11,3,60,84.36,99,25,151
2,8,3305,4,3,60,83.86,6.7,2,145
2,9,2172,9,3,60,84.25,7.9,3,18
2,10,2069,5,3,60,83.97,16,5.2,64
2,11,2162,1,3,60,83.69,7,2.3,115
2,12,1095,13,3,60,84.66,45,11,154
2,13,2012,3,3,60,83.74,22,5.9,59
2,14,1875,14,3,60,84.89,99,32,149
3,1,2973,5,3,60,69.23,15,4.7,115
3,2,485,6,3,60,69.34,11,3.1,18
3,3,2723,2,3,60,69.16,8.2,2.4,183
3,4,3031,11,3,60,70.22,44,11,138
3,5,3872,1,3,60,68.89,5.2,1.4,2
3,6,1398,10,3,60,69.75,36,11,64
3,7,939,4,3,60,69.22,15,4.5,162
3,8,4006,7,3,60,69.57,2.9,1.6,69
3,9,3844,9,3,60,69.67,15,4.2,34
3,10,713,3,3,60,69.2,5.1,1.6,154
3,11,4056,8,3,60,69.66,74,18,131
3,12,2002,12,3,60,70.52,68,18,151
4,1,82,3,3,60,95.94,5.2,1.7,18
4,2,97,1,3,60,95.84,3.6,1.5,69
4,3,3701,5,3,60,96.4,8.2,2.5,2
4,4,4061,11,3,60,96.92,28,8.1,162
4,5,887,6,3,60,96.51,33,10,183
4,6,134,12,3,60,97.16,43,18,138
4,7,3301,4,3,60,96.3,12,4,57
4,8,243,7,3,60,96.58,13,4.9,34
4,9,1332,8,3,60,96.76,6.1,1.9,115
4,10,277,2,3,60,95.87,11,2.8,131
4,11,3105,10,3,60,96.88,19,6.4,154
4,12,1895,9,3,60,96.8,31,9.3,63
4,13,2171,13,3,60,97.4,99,26,151
4,14,539,14,3,60,99.36,25,7.7,40
5,1,247,6,3,60,70.22,17,4.8,2
5,2,3712,10,3,60,70.88,1.8,1.1,18
5,3,3859,5,3,60,70.11,28,6.9,69
5,4,1899,4,3,60,70.07,11,2.2,115
5,5,3125,8,3,60,70.69,13,2.9,64
5,6,3918,13,3,60,71.76,99,24,154
5,7,1865,12,3,60,71.6,99,23,149
5,8,1369,3,3,60,69.91,32,7,183
5,9,585,1,3,60,69.2,6.1,1.6,138
5,10,1688,9,3,60,70.71,8.5,2.8,57
5,11,3499,11,3,60,70.94,37,5.9,151
5,12,475,14,3,60,73.96,99,40,38
5,13,3119,7,3,60,70.23,22,5.3,34
5,14,2327,2,3,60,69.7,99,40,128
6,1,2997,7,3,60,82.35,6.3,2.1,18
6,2,1202,8,3,60,82.44,16,4.3,128
6,3,1904,6,3,60,82.3,5.7,2,69
6,4,1852,12,3,60,84.42,5.1,1.4,59
6,5,3346,1,3,60,81.51,16,4.1,115
6,6,1863,3,3,60,82.1,31,7.9,57
6,7,3788,2,3,60,82.09,8.6,2.1,138
6,8,4041,5,3,60,82.26,52,8.8,154
6,9,3440,10,3,60,82.7,56,14,151
6,10,3101,4,3,60,82.24,2.7,1.5,162
6,11,3841,11,3,60,83.84,99,33,155
6,12,1420,9,3,60,82.52,99,30,149
7,1,3352,8,3,60,57.1,11,3.6,2
7,2,2795,9,3,60,57.45,36,9.8,145
7,3,4202,2,3,60,56.57,21,4.4,183
7,4,4343,5,3,60,56.76,26,7.4,138
7,6,4222,4,3,60,56.73,24,7.1,59
7,7,3732,12,3,60,57.91,2.7,1.4,69
7,8,2644,3,3,60,56.72,6.3,1.8,115
7,9,910,11,3,60,57.62,22,7.4,40
7,10,4101,10,3,60,57.48,22,6,64
7,11,4058,13,3,60,58.27,71,26,34
7,12,2161,6,3,60,56.77,17,6,149
7,13,3697,1,3,60,56.55,7,2.3,162
7,14,2671,7,3,60,57.05,6.6,1.7,128
8,1,2329,7,3,60,83.18,15,3.1,149
8,2,256,3,3,60,82.89,10,3.3,154
8,3,3452,4,3,60,82.9,20,5.4,131
8,4,2816,9,3,60,83.71,11,3.3,2
8,5,4121,2,3,60,82.61,4.9,1.6,115
8,6,389,11,3,60,83.91,55,9.6,34
8,7,3696,1,3,60,82.59,2.4,1.2,162
8,8,303,14,3,60,87.99,60,12,38
8,9,3349,5,3,60,82.98,6.5,2,128
8,10,3196,6,3,60,83.02,67,17,138
8,11,1789,8,3,60,83.48,99,26,155
8,12,1109,13,3,60,84.41,99,46,59
8,13,3583,10,3,60,83.85,13,3.3,151
8,14,4035,12,3,60,83.96,99,29,52
9,1,3451,1,3,60,70.19,20,4.9,183
9,2,3306,13,3,60,71.02,19,6.9,64
9,3,1444,8,3,60,70.63,12,4.2,162
9,4,541,7,3,60,70.56,8.6,3.2,69
9,5,540,11,3,60,70.9,19,4.6,138
9,6,3668,3,3,60,70.36,3.3,1.4,115
9,7,3422,4,3,60,70.37,16,4.1,2
9,8,908,12,3,60,71.01,72,17,34
9,9,3683,9,3,60,70.69,4,1.6,154
9,10,4043,14,3,60,71.28,75,17,131
9,11,2053,10,3,60,70.86,8.5,2.5,18
9,12,3842,6,3,60,70.56,25,5.3,155
9,13,3117,2,3,60,70.25,15,4.5,59
9,14,477,5,3,60,70.41,99,38,151
10,1,875,3,3,60,101.55,4.3,1.5,149
10,2,1016,1,3,60,101.29,5,1.8,18
10,3,2428,10,3,60,102.26,79,18,38
